Temperature,Humidity,Wind Speed,Weather Condition,Date
3.0387154097714872,80,1.1333189602940579,moderate rain,2024-12-05 21:00:00
1.3146215602557496,75,1.0882181489122589,broken clouds,2024-12-06 00:00:00
-0.3572270210928438,64,0.2828465170944233,scattered clouds,2024-12-06 03:00:00
-0.8404957516389218,65,0.08955732545814232,few clouds,2024-12-06 06:00:00
-0.9711089220567808,66,-0.6835994410869793,few clouds,2024-12-06 09:00:00
0.12604170945323415,60,-1.6564883723229251,few clouds,2024-12-06 12:00:00
0.015020514598053567,64,-2.79689460297698,overcast clouds,2024-12-06 15:00:00
-0.25926714327945005,65,-2.133268378359084,overcast clouds,2024-12-06 18:00:00
1.033803243857353,75,0.26996057098533766,light rain,2024-12-06 21:00:00
2.1636071679718327,93,1.101104095021344,light rain,2024-12-07 00:00:00
2.58156931330898,77,1.5198973435666188,light rain,2024-12-07 03:00:00
0.8182915126678859,73,1.2943932866576249,light rain,2024-12-07 06:00:00
-0.4747788744689172,81,0.5792232776033868,light rain,2024-12-07 09:00:00
-0.6184533619285618,85,0.04445651407634392,light rain,2024-12-07 12:00:00
-1.0102928731821381,85,1.661642750766557,light rain,2024-12-07 15:00:00
-1.5262148963326807,90,1.4361386938575633,light rain,2024-12-07 18:00:00
-1.3302951407058925,87,1.5585551818938752,light rain,2024-12-07 21:00:00
-0.29845109440480744,84,1.4747965321848198,light rain,2024-12-08 00:00:00
0.19134829466216277,80,0.17975894822174027,light rain,2024-12-08 03:00:00
-0.18742989954962744,87,0.450363816512533,light rain,2024-12-08 06:00:00
-0.4160029477808802,87,0.3408332745853074,light rain,2024-12-08 09:00:00
1.0076806097737807,70,0.34727624763984993,light rain,2024-12-08 12:00:00
0.5701264888739536,79,0.3279473284762217,light rain,2024-12-08 15:00:00
0.7072703178127059,78,-0.29057808475987595,light rain,2024-12-08 18:00:00
0.5440038547903824,80,-0.36789376141438823,light rain,2024-12-08 21:00:00
0.22400158726662794,78,-0.2841351117053334,overcast clouds,2024-12-09 00:00:00
-0.043755412089982834,76,-0.32923592308713184,light rain,2024-12-09 03:00:00
-0.17436858250784124,71,-0.29057808475987595,overcast clouds,2024-12-09 06:00:00
-0.20049121659141303,73,-0.4452094380689005,overcast clouds,2024-12-09 09:00:00
-0.011102119485517651,71,-0.2261483542144488,overcast clouds,2024-12-09 12:00:00
0.008489856077160763,70,-0.09728889312359555,overcast clouds,2024-12-09 15:00:00
-0.31804306996748644,71,-0.14883267755993707,overcast clouds,2024-12-09 18:00:00
-0.21355253363319923,62,-0.11661781228722319,overcast clouds,2024-12-09 21:00:00
-0.5009015085524884,70,-0.393665653632559,overcast clouds,2024-12-10 00:00:00
-0.5858000693240972,68,-0.36789376141438823,overcast clouds,2024-12-10 03:00:00
-0.3964109722182018,60,-0.7866870099596623,overcast clouds,2024-12-10 06:00:00
-1.1409060435999971,71,-0.9735332285414002,overcast clouds,2024-12-10 09:00:00
-0.4160029477808802,67,-0.9155464710505162,broken clouds,2024-12-10 12:00:00
-0.6445759960121337,65,-0.9348753902141445,broken clouds,2024-12-10 15:00:00
-1.408663042956608,70,-0.941318363268687,overcast clouds,2024-12-10 18:00:00
